"","Year","yr01","yr02","yr03","yr04","yr05","yr06","yr07","yr08","yr09","yr10","yr11","yr12","yr13","yr14","yr15","yr16","yr17","yr18","yr19","yr20"
"1",1995,1,1,1,2,0,2,1,1,0,2,0,0,1,0,2,1,1,1,1,1
"2",1995,0,1,7,7,1,4,9,12,5,4,8,13,9,14,9,9,7,8,10,5
"3",1995,0,0,2,4,6,7,15,8,17,14,23,27,28,26,27,39,36,41,36,18
"4",1996,0,0,0,1,0,1,1,0,0,4,3,1,1,1,1,1,3,0,1,0
"5",1997,0,1,1,1,2,0,1,1,0,2,1,5,3,3,3,8,4,5,0,0
"6",1997,0,3,4,11,7,11,6,10,11,14,8,13,11,11,13,5,9,3,0,0
"7",1998,0,0,1,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0
"8",1999,0,0,0,0,5,0,3,9,3,6,3,5,6,5,3,4,0,0,0,0
"9",2000,0,2,4,12,7,11,12,18,14,22,16,15,18,14,9,0,0,0,0,0
"10",2001,0,1,0,2,2,5,9,3,3,3,7,9,4,3,0,0,0,0,0,0
"11",2001,0,1,0,5,5,4,12,10,6,18,13,8,20,10,0,0,0,0,0,0
"12",2001,1,0,3,6,6,20,14,10,12,17,14,17,19,4,0,0,0,0,0,0
"13",2001,0,1,3,4,10,7,9,17,13,13,25,23,14,7,0,0,0,0,0,0
"14",2003,1,0,2,3,5,5,5,1,3,4,5,1,0,0,0,0,0,0,0,0
"15",2003,0,1,3,4,7,10,13,13,16,9,14,8,0,0,0,0,0,0,0,0
"16",2003,2,10,22,45,68,66,72,92,103,89,81,53,0,0,0,0,0,0,0,0
"17",2005,0,0,6,8,10,14,15,11,15,8,0,0,0,0,0,0,0,0,0,0
"18",2007,0,0,3,6,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2007,1,4,2,12,12,14,11,9,0,0,0,0,0,0,0,0,0,0,0,0
"20",2007,1,1,5,10,13,24,17,11,0,0,0,0,0,0,0,0,0,0,0,0
"21",2008,0,0,2,5,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2008,4,7,4,9,5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2008,1,3,4,11,15,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2009,0,4,8,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2009,0,4,4,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2010,1,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2010,0,2,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2010,0,2,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2010,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2011,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2011,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2011,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2012,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2012,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2012,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2012,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
