"","Year","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"1",1996,0,0,0,0,0,5,6,3,4,5,2,2,0,1,5,1,4,4,1,3,2
"2",1996,0,0,0,1,0,1,1,0,3,0,0,0,0,1,2,0,0,0,0,0,1
"3",1998,0,0,0,0,0,0,3,7,4,8,14,10,14,14,20,17,24,9,15,15,7
"4",1998,0,0,0,0,0,0,0,0,0,2,0,2,3,2,2,0,0,0,0,0,0
"5",1999,0,0,0,0,0,0,0,0,5,5,5,4,2,7,6,6,6,9,3,8,2
"6",1999,0,0,0,0,0,0,2,4,3,10,7,7,19,12,16,6,25,24,20,20,10
"7",2005,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,3,9,5,2,2
"8",2001,0,0,0,0,0,0,0,0,0,2,2,0,1,4,2,2,2,1,4,1,2
"9",2003,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,2,4,2,0
"10",2005,0,0,0,0,0,0,0,0,2,5,12,19,22,19,25,29,36,31,27,29,14
"11",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,7,2,2
"12",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,6,6,3
"13",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,13,12,4
"14",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"15",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"17",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"18",1994,0,1,1,2,2,3,4,4,3,0,1,3,5,8,4,3,7,7,5,4,3
"19",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"20",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"22",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"23",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"24",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"25",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
"26",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
"27",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
"28",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
"29",1998,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,1,1,0,0
"30",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,2
"31",1995,0,1,1,1,2,0,2,1,1,0,2,0,0,1,0,2,1,1,1,1,1
"32",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,7,1
"33",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,5
"34",1996,0,0,0,0,0,1,0,1,1,0,0,4,3,1,1,1,1,1,3,0,1
"35",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,6
"36",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,7,0
"37",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,7,1
"38",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,9,4
"39",2003,0,0,0,0,0,0,0,0,0,1,0,2,3,5,5,5,1,3,4,5,1
"40",1997,0,0,0,0,1,1,1,2,0,1,1,0,2,1,5,3,3,3,8,4,5
"41",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,9,5,9,8
"42",2001,0,0,0,0,0,0,0,0,1,0,2,2,5,9,3,3,3,7,9,4,3
"43",1999,0,0,0,0,0,0,0,0,0,5,0,3,9,3,6,3,5,6,5,3,4
"44",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,11,15,27,3
"45",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,12,12,14,11,9
"46",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,10,13,24,17,11
"47",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,14,15,11,15,8
"48",2003,0,0,0,0,0,0,0,0,0,0,1,3,4,7,10,13,13,16,9,14,8
"49",2001,0,0,0,0,0,0,0,0,1,0,5,5,4,12,10,6,18,13,8,20,10
"50",1995,0,0,1,7,7,1,4,9,12,5,4,8,13,9,14,9,9,7,8,10,5
"51",2001,0,0,0,0,0,0,0,1,0,3,6,6,20,14,10,12,17,14,17,19,4
"52",2001,0,0,0,0,0,0,0,0,1,3,4,10,7,9,17,13,13,25,23,14,7
"53",1997,0,0,0,0,3,4,11,7,11,6,10,11,14,8,13,11,11,13,5,9,3
"54",2000,0,0,0,0,0,0,0,2,4,12,7,11,12,18,14,22,16,15,18,14,9
"55",1995,0,0,0,2,4,6,7,15,8,17,14,23,27,28,26,27,39,36,41,36,18
"56",2003,0,0,0,0,0,0,0,0,0,2,10,22,45,68,66,72,92,103,89,81,53
